Song Number,Song Name,Singer,Lyrics,Lyrics Status,Writer,Composer,Category,Image Name,Year,Recording Status,SoundCloud Link
62,تفوت عليا وما تسلم,خالد سعيد,"اتفوت عليا ما اتسلم - ايبان الشوق يتكلم
ما دام انحب يا غالي - اعلاش الحب يتحرم
لو ناداك يوم الحب - افرح بيه و تهنى
ليش تكتم و تحرم قلب - عمره في الهوى جنة ؟

زي اهلال العيد ايهل - ع الدنيا اينورها
و هكي الحب لما ايطل - في نفسك و يغمرها

نرجى فيك زي ما الليل - يرجى البدر يا امنايا
ما تحرمش قلبي ايميل - بهناك و هنايا
تعالى سلّم و خلّي الود يتكلم",مكتوبة كاملة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/tw75z
63,الشمس زرعت نورها عالغابة,خالد سعيد,الشمس زرعت نورها عالغابة - خلت عيون العاشقين طرابا,مطلع الأغنية/رأس البيت فقط,مسعود القبلاوي,ابراهيم اشرف,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/hpPTo
64,انا اللي ظلمت القلب,خالد سعيد,"انا اللي ظلمت القلب - و القلب حقه عليا
تبعت روحي شقيت - في الحب غرت بيا",الكلمات غير مكتملة,أحمد الحريري,كاظم نديم,طرب ليبي,KhaledSaeed.jpg,غير معروف,تسجيل مرئي فقط,
65,بطل ليبيا مخلص و ايدناه ,خالد سعيد,"بطل ليبيا  -  مخلص وايدناه 
بطل ليبيا - والشعب ماشي وراه 
يهتف ويزيد الشعب - يغني ويشيد الشعب 
ادريس راعينا - قائد وحامينا 
الله الله يحفظه ويرعاه 
مخلص لشعبه من قلبه - بقوة إيمان 
والشعب يحبه قائدنا - بطل الشجعان 
تولى القيادة - الادريس 
حررها بلاده - الادريس 
والشعب وراه - والشعب وراه  - والشعب وراه 
ادريس راعينا - قائد وحامينا 
الله - الله يحفظه ويرعاه 
كافح من صغره علي وطنه - سنين طوال 
ما همّه عمره قائدنا - بطل الأبطال 
احنا فداه - الادريس 
يسعدنا هناه - الادريس 
والشعب وراه - والشعب وراه - والشعب وراه 
ادريس راعينا - قائد وحامينا 
الله - -الله يحفظه ويرعاه ",مكتوبة كاملة,,,وطنيات,KhaledSaeed.jpg,غير معروف,لا يوجد,
66,حكم الهوى,خالد سعيد,"حكم الهوى - طعناه في ما راده
تبعنا طريقه ما قدرنا عناده",الكلمات غير مكتملة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,رديء,
67,خلوه يسلم خلوه,خالد سعيد,خلوه يسلم خلوه - الغالي اللي عيوني شافوه,مطلع الأغنية/رأس البيت فقط,أحمد الحريري,كاظم نديم,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/PZZLX
68,ابعدي و انسيني,خالد سعيد,"خودي جوابك - ابعدي وانسيني
خودي جوابك - وابعدي وانسيني
لا ندورك لا نجيك - لا لانتي تجيني
اه تردي لية سوال النبي وصلك ايام الغية
وعيشي بروحك دوري حنية من قلب مش قلبي
اه صعب تلقيني - ابعدي وانسيني
لا لا تتجدي - ولا تفكري في يوم لية تردي
في جرتك مني غلاك معدي - ما عاد دمعك بيه تستجديني
ابعدي وانسيني
لا لاتشكيلى لاتطلبي المحال لا تعوديلي
طلعتك من خاطري ودليلي
صابر على فرقاك اه وطول سنيني",مكتوبة كاملة,,كاظم نديم,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/HZHav
69,دعاني الشوق,خالد سعيد,"دعاني الشوق و كلمني - حنين الحب في همسك
حبيبي الحب علمني - حلاوة الحرف من اسمك
و أنا مش قادر انقولك - علي حبي و لا اندلك

يا حبيبي زارني طيفك - يضحك في ليلة قمر
كلمني من غير ما انشوفك - بالحب و طاب السهر
و فرحت و كلمته عنك - و نسيت اللي صارلي منك

حبيتك و أنت حبيبي - أسأل عني اللي شافوني
حتى و أنت مش داريبي - حبيتك شلتك ف عيوني
أنت لو تعطف عليا - تلقى الجنة بين أيديا",مكتوبة كاملة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/Wjf6f
70,زين الزين ,خالد سعيد,زين الزين يا قمري العالي - حتى يوم ما فارقت بالي,مطلع الأغنية/رأس البيت فقط,عبدالسلام خزام,عبدالسلام خزام,طرب ليبي,KhaledSaeed.jpg,غير معروف,رديء,
71,سمعتو شن قالوا عالزين,خالد سعيد,سمعتو شن قالوا عالزين اللي غايب مدة وسنين,مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/zoR2P
72,جيران الدار,خالد سعيد,"سنين طوال انا وياك - جيران الدار بحدا الدار
في الحلوة و المرة - ما عمرنا تخاصمنا نهار",الكلمات غير مكتملة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/kWpCj
73,طوالي ,خالد سعيد,"طوالي مروح طوالي - لصغاري والوطن الغالي
لناسي لخوتي لناسي وعشرت جيراني
لبوي وامي وعيالي
طوالي راجع لاحبابي
يكفيني الغربة يا صحابي
والبعد اللي مغير حالي
طوالي وقلبي مشغول
متباعد ما علية ملام طوالي
الوقت عالمشتاق يطول طوالي
واليوم اللي يفوت بعام طوالي
من يوم ما جاني مرسول
يريحني من خير احبابي
يكفي من الغربة يا صحابي طوالي
طوالي مروح طوالي
يا شوق يا شوق
يا شوق اسبقني وخبرهم
تلقاهم فية يستنوا
عاللي صايرلي خبرهم
قوللهم اليوم تهنوا
وام ولادي عليا تلوم
تحسب في الساعة بليالي
يكفي من الغربة يا صحابي
طوالي طوالي
طوالي مروح طوالي
لا نقدر نتريح يوم طوالي
ولا عاد عيوني تتهني طوالي
كيف نرقد ويجيني النوم طوالي
وبيتي برجوعي يتهني طوالي
وام ولادي علية تلوم
تحسب في الساعة بليالي",مكتوبة كاملة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/fP2Gz
74,ع الموجة,خالد سعيد,"ع الموجة عايشين سهارة - مصعبها حياة البحارة
بين الشبكة و الانبارة - نكافح نجري ليل نهار",الكلمات غير مكتملة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,رديء,
75,فرح ومرح وتهليله,خالد سعيد,فرح ومرح وتهليله - مجمل سهرة هالليلة,مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/RhJsh
76,فكرت ننسى ما قدرت نهونك,خالد سعيد,فكرت ننسى ما قدرت نهونك - سعادة حياتي باينة في عيونك,مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/1fWoH
77,كاوينا بنار غلاك,خالد سعيد,"كاوينا بنارغلاك يا غالي
وناسينا وردة ذبلانة حرام عليك
من خان الحب ومن هانه. اي والله
هو انت والا انا الله واعلم",وجب التأكد من اكتمال الكلمات,محمد الورفلي,كاظم نديم,طرب ليبي,KhaledSaeed.jpg,غير معروف,لا يوجد,
78,مبروك ميلادك يا بنتي,خالد سعيد,"مبروك مبروك ميلادك يا بنتي
جايبلك فرحة من قلبي
نهديلك شن تبي انتي
جايبلي ساعة ذهبية ولا دراجة نارية
(جملة غير مفهومة)
جايبلك كنز المستقبل - يفرح قلبك ليل ونهار
يضمنلك حياة هنية
وشهادة الاستثمار",مكتوبة كاملة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/1dvau
79,جواب الغالي,خالد سعيد,"من الغالي جواب اليوم جانا - برجوعه هنانا
قال راجع بلاده ناداته - يشكي من الفرقة اللي كواته
متحير في كل اوقاته - ليه سنين غايب ما رانا",وجب التأكد من اكتمال الكلمات,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/gF9s7
80,من ظل لظل تعالالي,خالد سعيد,"من ظل لظل تعالالي - وقت اللي تطل
مش وقت الشمس - مع الضحوة نبيك تهل",الكلمات غير مكتملة,فرج المذبل,أبراهيم أشرف,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/pb5Eo
81,من قلبي هويته,خالد سعيد,من قلبي هويته  غاليا,مطلع الأغنية/رأس البيت فقط,,علي ماهر,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/ZTiBy
82,من يستغنى عليك,خالد سعيد,"من يستغنى عليك
من يستغنى عليك انت ومن يرضى يخليك
يكفي انت عندى غالي - يكفي الحب عرفته بيك
من يستغنى عليك انت ومن يستغنى عليك
طيفك لو غاب عني يوم - عيوني ما يراودها نوم
عقلي دوم عليك ينشد ما يعرف لوم
حرام عليك تقول عليه اني جافيك
من يستغنى عليك انت ومن يستغنى عليك
لا يصبر قليب لا يتوب - ولا يرضى بغير المكتوب
يا محبوب اني حبي ما فيه عيوب - حياتي ليك ولو تطلب عمري نعطيك
من يستغنى عليك انت من يستغنى عليك",مكتوبة كاملة,محمد شفيق,كاظم نديم,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/iX3vd
83,خليك منه,خالد سعيد,هان و جفاء يا قلب خليك منه - واترك سريبه و ما تسالش عنه,مطلع الأغنية/رأس البيت فقط,,كاظم نديم,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/k86pu
84,يا دمع قطر,خالد سعيد,"يا دمع قطر
يا دمع قطر و السحاب يمطر - لا جاء الغالي و لاجواب مسكر

زول الحبيب تباعد - من يوم سافر ما عهوده جدد
ليه قال راجع للغوالي حدد - فات وقت ميعاده شهر و اكثر

طول علينا الغيبه - ليلة بعد الحبيب صعيبه
عايش في نار الشوق كان يجيبه - حياتي و طول العمر عنه نسهر

يا يوم ما يلفاني - تضوي شموع الفرح عشرة ليالي
كل الغوالي ما شغلهم غالي - كيف ما شغلني حبيبي الاسمر

قلبي عليه مرايف - عليه من عيون الناس ديمه خايف
مشتاق للغالي وماني عارف - مع حبنا والا في غيره فكر",مكتوبة كاملة,,كاظم نديم,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/vm3kP
85,يا صبح نسماتك رضا من الله,خالد سعيد,"يا صبح نسماتك رضا من الله - فيك السجود لربنا المعبود
يا صبح و اسمك نور حبيناه - فيك الحبيب يهدي الحبيب ورود

يا سر كل عظيم مجد بناه - في كل ساعة يبلغ المقصود
مع الضي توكل على مولاه - في رزقه يباركله كريم الجود

يا احنينة يا شمس صبح اليوم - نورك ضوي ( ضوا ) فوق الروابي الخضرة
ضيك محبة بينا و اتدوم - يا أمل ضاوي ع الوجوه السمرة
يا امفرحة العامل صحا من النوم - بالعمل نوصل هدفنا المنشود

يا صبح يا فرحة اتسر اعيونا - يا نغم في غنوة و صوت احنون
همسة حبيب و ما نهار ايهونا - يا حب صادق بالوفا ما ايهون
نورك البيضا لونت زيتونا - على شجرة الزيتون و الليمون
بالفرح غنت و النجاح من الله .",مكتوبة كاملة,,,ابتهالات,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/MXnZk
